# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 01.04.2019 по 08.12.2019, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"07.12.2019 15:00";"1.3";"739.6";"754.2";"-0.8";"91";"Ветер, дующий с юга";"1";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"4.0";"-0.1";"";"";"";"";"";"";
"07.12.2019 12:00";"1.6";"740.4";"755.0";"0.0";"83";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";"Дымка. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"10.0";"-1.0";"";"";"";"";"";"";
"07.12.2019 09:00";"0.8";"740.4";"755.1";"0.5";"87";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"0.7";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"4.0";"-1.1";"0.1";"12";"";"";"";"";
"07.12.2019 06:00";"1.4";"739.9";"754.6";"0.0";"81";"Ветер, дующий с юго-запада";"1";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"1.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-1.6";"Следы осадков";"12";"";"";"";"";
"07.12.2019 03:00";"1.3";"739.9";"754.6";"0.2";"77";"Ветер, дующий с западо-юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-2.3";"";"";"";"";"";"";
"07.12.2019 00:00";"1.3";"739.7";"754.3";"1.4";"72";"Ветер, дующий с западо-юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-3.3";"";"";"";"";"";"";
"06.12.2019 21:00";"2.0";"738.3";"752.8";"-0.4";"65";"Ветер, дующий с западо-юго-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"2.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-3.9";"Осадков нет";"12";"";"";"";"";
"06.12.2019 18:00";"1.6";"738.7";"753.3";"-1.1";"71";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-3.1";"0.3";"12";"";"";"";"";
"06.12.2019 15:00";"1.6";"739.8";"754.4";"-1.0";"80";"Ветер, дующий с юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-1.6";"";"";"";"";"";"";
"06.12.2019 09:00";"1.4";"740.6";"755.2";"-1.2";"93";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"1.3";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"4.0";"0.4";"0.7";"12";"";"";"";"";
"06.12.2019 06:00";"1.5";"741.8";"756.5";"0.1";"94";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";"Дымка. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"1.4";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"";"0.6";"0.4";"12";"";"";"";"";
"06.12.2019 03:00";"1.5";"741.7";"756.4";"-0.8";"94";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Морось.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"";"0.7";"";"";"";"";"";"";
"06.12.2019 00:00";"2.5";"742.5";"757.2";"0.4";"89";"Ветер, дующий с запада";"2";"";"";"100%.";"Дымка. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"";"0.9";"";"";"";"";"";"";
"05.12.2019 21:00";"2.5";"742.1";"756.7";"-0.5";"93";"Ветер, дующий с запада";"2";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"2.5";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"";"1.4";"Следы осадков";"12";"";"";"";"";
"05.12.2019 18:00";"1.8";"742.6";"757.3";"-0.7";"95";"Ветер, дующий с запада";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"";"1.1";"Осадков нет";"12";"";"";"";"";
"05.12.2019 15:00";"1.6";"743.3";"758.0";"-0.4";"94";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"0.8";"";"";"";"";"";"";
"05.12.2019 12:00";"2.3";"743.7";"758.3";"0.5";"92";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"1.1";"";"";"";"";"";"";
"05.12.2019 09:00";"1.9";"743.2";"757.9";"0.9";"95";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-1.3";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"4.0";"1.2";"0.2";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"4.0";
"05.12.2019 06:00";"1.5";"742.3";"756.9";"1.0";"97";"Ветер, дующий с запада";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-1.3";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"";"1.0";"2.0";"12";"";"";"";"";
"05.12.2019 03:00";"0.6";"741.3";"756.0";"0.5";"96";"Ветер, дующий с запада";"1";"";"";"100%.";"Дымка. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"0.0";"";"";"";"";"";"";
"05.12.2019 00:00";"-0.9";"740.8";"755.5";"0.3";"95";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";"Дымка. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"-1.6";"";"";"";"";"";"";
"04.12.2019 21:00";"-1.3";"740.5";"755.2";"-0.3";"90";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-0.8";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"-2.7";"4.0";"12";"";"";"";"";
"04.12.2019 18:00";"-1.7";"740.8";"755.6";"-1.4";"94";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"-2.6";"2.0";"12";"";"";"";"";
"04.12.2019 15:00";"-0.8";"742.2";"757.0";"-2.0";"81";"Ветер, дующий с юго-запада";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"4.0";"-3.7";"";"";"";"";"";"";
"04.12.2019 12:00";"-1.5";"744.2";"759.1";"-0.7";"80";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-4.6";"";"";"";"";"";"";
"04.12.2019 09:00";"-2.0";"744.9";"759.8";"0.2";"84";"Ветер, дующий с запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-4.3";"Следы осадков";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"2.0";
"04.12.2019 06:00";"-2.7";"744.7";"759.7";"-0.1";"88";"Ветер, дующий с запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-4.5";"Следы осадков";"12";"";"";"";"";
"04.12.2019 03:00";"-3.0";"744.8";"759.8";"0.0";"85";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-5.2";"";"";"";"";"";"";
"04.12.2019 00:00";"-2.5";"744.8";"759.8";"0.4";"74";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-6.5";"";"";"";"";"";"";
"03.12.2019 21:00";"-2.5";"744.4";"759.4";"0.6";"76";"Ветер, дующий с запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-1.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-6.2";"0.2";"12";"";"";"";"";
"03.12.2019 18:00";"-1.6";"743.8";"758.8";"0.9";"70";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-6.5";"0.5";"12";"";"";"";"";
"03.12.2019 15:00";"-1.6";"742.9";"757.7";"0.1";"85";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Снег неливневый. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-3.9";"";"";"";"";"";"";
"03.12.2019 12:00";"-2.0";"742.8";"757.7";"0.2";"88";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"4.0";"-3.8";"";"";"";"";"";"";
"03.12.2019 09:00";"-2.4";"742.6";"757.5";"0.0";"89";"Ветер, дующий с запада";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-2.9";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-4.0";"0.5";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"1.0";
"03.12.2019 06:00";"-2.7";"742.6";"757.5";"-0.6";"90";"Ветер, дующий с юга";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-2.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-4.1";"0.2";"12";"";"";"";"";
"03.12.2019 03:00";"-2.2";"743.2";"758.1";"-0.8";"83";"Ветер, дующий с юга";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-4.8";"";"";"";"";"";"";
"03.12.2019 00:00";"-2.2";"744.0";"758.9";"-0.5";"81";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-5.1";"";"";"";"";"";"";
"02.12.2019 21:00";"-2.3";"744.5";"759.4";"-0.6";"81";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"";"-2.2";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-5.2";"Осадков нет";"12";"";"";"";"";
"02.12.2019 18:00";"-2.5";"745.1";"760.1";"-1.0";"79";"Ветер, дующий с юго-юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-5.7";"Осадков нет";"12";"";"";"";"";
"02.12.2019 15:00";"-2.6";"746.1";"761.1";"-0.7";"78";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-5.9";"";"";"";"";"";"";
"02.12.2019 12:00";"-3.8";"746.8";"761.9";"-0.2";"82";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-6.4";"";"";"";"";"";"";
"02.12.2019 09:00";"-4.8";"747.0";"762.1";"-0.6";"86";"Ветер, дующий с юго-юго-запада";"1";"";"";"20–30%.";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-5.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"4.0";"-6.8";"Следы осадков";"12";"";"";"";"";
"02.12.2019 06:00";"-4.8";"747.6";"762.7";"0.2";"90";"Ветер, дующий с западо-юго-запада";"1";"";"";"60%.";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-5.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-6.2";"Следы осадков";"12";"";"";"";"";
"02.12.2019 03:00";"-4.5";"747.4";"762.6";"-0.2";"89";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";"Дымка. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"";"";"";"";"";"";"-6.1";"";"";"";"";"";"";
"02.12.2019 00:00";"-4.1";"747.6";"762.7";"0.5";"83";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";"Дымка. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"";"";"";"";"";"";"-6.6";"";"";"";"";"";"";
"01.12.2019 21:00";"-3.2";"747.1";"762.1";"0.4";"82";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-1.7";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-5.9";"Следы осадков";"12";"";"";"";"";
"01.12.2019 18:00";"-3.6";"746.7";"761.8";"1.6";"79";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-6.8";"Осадков нет";"12";"";"";"";"";
"01.12.2019 15:00";"-2.4";"745.1";"760.1";"0.8";"67";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-7.8";"";"";"";"";"";"";
"01.12.2019 12:00";"-2.0";"744.3";"759.2";"1.0";"65";"Ветер, дующий с запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-7.7";"";"";"";"";"";"";
"01.12.2019 09:00";"-2.3";"743.3";"758.2";"1.3";"63";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"-2.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-8.4";"Следы осадков";"12";"";"";"";"";
"01.12.2019 06:00";"-2.2";"742.0";"757.0";"1.5";"69";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"-2.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-7.2";"0.1";"12";"";"";"";"";
"01.12.2019 03:00";"-1.7";"740.5";"755.4";"1.5";"71";"Ветер, дующий с северо-запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-6.4";"";"";"";"";"";"";
"01.12.2019 00:00";"0.5";"739.0";"753.7";"1.8";"75";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"-3.5";"";"";"";"";"";"";
"30.11.2019 21:00";"1.9";"737.2";"751.7";"0.5";"90";"Ветер, дующий с запада";"1";"";"";"100%.";"Дымка. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"3.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"0.4";"0.1";"12";"";"";"";"";
